OA11CD,PC_DIST
E00003542,BR5
E00003561,BR5
E00003556,BR5
E00003558,BR5
E00003857,BR5
E00003960,BR5
E00003518,BR5
E00003582,BR5
E00003503,BR5
E00003540,BR5
E00003875,BR5
E00003557,BR5
E00003853,BR5
E00003523,BR5
E00003597,BR5
E00003516,BR5
E00003969,BR5
E00003971,BR5
E00003548,BR5
E00003554,BR5
E00003965,BR5
E00003531,BR5
E00003984,BR5
E00003587,BR5
E00003506,BR5
E00003581,BR5
E00003545,BR5
E00003973,BR5
E00003543,BR5
E00003547,BR5
E00003948,BR5
E00003977,BR5
E00003861,BR5
E00003968,BR5
E00003533,BR5
E00003546,BR5
E00003586,BR5
E00003507,BR5
E00003529,BR5
E00003577,BR5
E00003846,BR5
E00003589,BR5
E00003508,BR5
E00003988,BR5
E00003694,BR5
E00003524,BR5
E00003979,BR5
E00003685,BR6
E00003322,BR6
E00003843,BR6
E00166616,BR6
E00003676,BR6
E00003859,BR6
E00003961,BR6
E00003307,BR6
E00003866,BR6
E00003286,BR6
E00003650,BR6
E00003678,BR6
E00003667,BR6
E00003668,BR6
E00003285,BR6
E00003951,BR6
E00003661,BR6
E00003697,BR6
E00003852,BR6
E00003841,BR6
E00003692,BR6
E00003313,BR6
E00003684,BR6
E00003321,BR6
E00003657,BR6
E00003849,BR6
E00003297,BR6
E00003497,BR6
E00003883,BR6
E00003309,BR6
E00003311,BR6
E00003851,BR6
E00003314,BR6
E00166110,BR6
E00003293,BR6
E00003874,BR6
E00003701,BR6
E00003704,BR6
E00003842,BR6
E00003867,BR6
E00003879,BR6
E00003878,BR6
E00003886,BR6
E00003689,BR6
E00003326,BR6
E00003294,BR6
E00003310,BR6
E00003290,BR6
E00003323,BR6
E00003320,BR6
E00003659,BR6
E00003850,BR6
E00003881,BR6
E00003305,BR6
E00003698,BR6
E00003695,BR6
E00003987,BR6
E00003696,BR6
E00003672,BR6
E00003316,BR6
E00003687,BR6
E00003327,BR6
E00003880,BR6
E00003681,BR6
E00003885,BR6
E00003674,BR6
E00003671,BR6
E00003873,BR6
E00003962,BR6
E00003318,BR6
E00003319,BR6
E00003296,BR6
E00003300,BR6
E00003306,BR6
E00003884,BR6
E00003292,BR6
E00003869,BR6
E00003679,BR6
E00003705,BR6
E00003645,BR6
E00003953,BR6
E00003690,BR6
E00003302,BR6
E00003887,BR6
